id,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,,,,,,
174,1483876800,Partly Cloudy,partly-cloudy-night,0,0,34.44,34.44,23.43,0.64,1038.39,0.49,0.73,110,0.44,0,10,,,,,,,,
175,1483880400,Mostly Cloudy,partly-cloudy-night,0,0,33.81,33.81,22.33,0.62,,0.12,0.61,,0.59,0,10,,,,,,,,
176,1483884000,Mostly Cloudy,partly-cloudy-day,0,0,33.36,33.36,22.51,0.64,,1,1,156,0.59,0,10,,,,,,,,
177,1483887600,Partly Cloudy,partly-cloudy-day,0,0,35.74,35.74,22.37,0.58,1040.01,0.55,2.01,90,0.46,1,10,,,,,,,,
178,1483891200,Mostly Cloudy,partly-cloudy-day,0,0,40.74,40.74,23.03,0.49,,1.29,4.16,68,0.75,2,10,,,,,,,,
179,1483894800,Mostly Cloudy,partly-cloudy-day,0,0,43.43,40.84,23.18,0.44,,4.54,6.4,59,0.87,3,10,,,,,,,,
180,1483898400,Mostly Cloudy,partly-cloudy-day,0,0,44.56,43.11,24.34,0.45,1038.3,3.41,8.58,56,0.75,3,10,,,,,,,,
181,1483902000,Mostly Cloudy,partly-cloudy-day,0,0,46.69,45.18,24,0.41,,3.84,10.17,78,0.87,3,10,,,,,,,,
182,1483905600,Mostly Cloudy,partly-cloudy-day,0,0,48.43,45.2,24.62,0.39,,7.21,10.01,49,0.59,3,10,,,,,,,,
183,1483909200,Partly Cloudy,partly-cloudy-day,0,0,50.15,50.15,27.09,0.41,1035.38,5.8,10.17,106,0.36,3,10,,,,,,,,
184,1483912800,Clear,clear-day,0,0,50.98,50.98,27.81,0.41,,4.87,8.99,102,0,1,10,,,,,,,,
185,1483916400,Clear,clear-day,0,0,50.85,50.85,28.71,0.42,,3.91,6.36,98,0,0,10,,,,,,,,
186,1483920000,Clear,clear-day,0,0,49.15,48.25,30.95,0.49,1033.23,3.53,5.14,110,0,0,10,,,,,,,,
187,1483923600,Clear,clear-night,0,0,47.15,47.15,32.07,0.56,,1.59,4.41,136,0,0,10,,,,,,,,
188,1483927200,Clear,clear-night,0,0,45.72,45.72,31.38,0.57,,1.41,2.01,146,0,0,10,,,,,,,,
